clmNum,datetxn,clmStatus,paid,expense,reserve,incurred,clmCause,risk_level,paid_cumsum,expense_cumsum,reserve_cumsum,incurred_cumsum
CLM13344769,2024-12-15 14:31:59.074233,OPEN,0.0,2133.9,1881.03,4014.93,Product Liability,HIGH,0.0,2133.9,1881.03,4014.93
CLM13344769,2025-03-25 14:31:59.074233,OPEN,0.0,548.31,1246.56,1794.87,Product Liability,HIGH,0.0,2682.21,3127.59,5809.799999999999
CLM14521373,2024-01-07 14:31:59.074233,OPEN,0.0,2331.55,1027.91,3359.46,Weather Damage,HIGH,0.0,2331.55,1027.91,3359.46
CLM14521373,2024-03-26 14:31:59.074233,OPEN,0.0,841.95,954.67,1796.62,Weather Damage,HIGH,0.0,3173.5,1982.58,5156.08
CLM14521373,2024-05-30 14:31:59.074233,OPEN,0.0,1494.89,1966.56,3461.45,Weather Damage,HIGH,0.0,4668.39,3949.14,8617.529999999999
CLM14981505,2025-06-09 14:31:59.074233,OPEN,0.0,707.54,853.18,1560.71,Professional Negligence,HIGH,0.0,707.54,853.18,1560.71
CLM14981505,2025-06-25 14:31:59.074233,OPEN,0.0,1514.61,932.88,2447.49,Professional Negligence,HIGH,0.0,2222.1499999999996,1786.06,4008.2
CLM14981505,2025-07-10 14:31:59.074233,OPEN,0.0,2438.11,782.67,3220.78,Professional Negligence,HIGH,0.0,4660.26,2568.73,7228.98
CLM14981505,2025-07-21 14:31:59.074233,OPEN,0.0,1439.52,1476.22,2915.75,Professional Negligence,HIGH,0.0,6099.780000000001,4044.95,10144.73
CLM14981505,2025-07-24 14:31:59.074233,OPEN,0.0,529.83,1827.54,2357.37,Professional Negligence,HIGH,0.0,6629.610000000001,5872.49,12502.1
CLM23315092,2024-04-13 14:31:59.074233,OPEN,1430.14,310.69,701.72,1012.41,Auto Accident,HIGH,1430.14,310.69,701.72,1012.41
CLM23315092,2024-11-25 14:31:59.074233,OPEN,1624.0,697.28,1407.57,2104.84,Auto Accident,HIGH,3054.1400000000003,1007.97,2109.29,3117.25
CLM23315092,2025-08-14 14:31:59.074233,OPEN,1582.63,1564.84,1022.73,2587.57,Auto Accident,HIGH,4636.77,2572.81,3132.02,5704.82
CLM23953367,2024-10-11 14:31:59.074233,OPEN,0.0,723.38,1954.12,2677.49,Theft,HIGH,0.0,723.38,1954.12,2677.49
CLM23953367,2024-11-09 14:31:59.074233,OPEN,0.0,2246.31,1372.94,3619.25,Theft,HIGH,0.0,2969.69,3327.06,6296.74
CLM23953367,2025-02-01 14:31:59.074233,OPEN,0.0,1844.21,823.7,2667.91,Theft,HIGH,0.0,4813.9,4150.76,8964.65
CLM23953367,2025-03-14 14:31:59.074233,OPEN,0.0,370.14,925.12,1295.25,Theft,HIGH,0.0,5184.04,5075.88,10259.9
CLM23953367,2025-05-03 14:31:59.074233,OPEN,0.0,972.68,1396.68,2369.36,Theft,HIGH,0.0,6156.72,6472.5599999999995,12629.26
CLM31081788,2024-02-03 14:31:59.074233,OPEN,1458.46,1715.07,595.41,2310.48,Medical Malpractice,HIGH,1458.46,1715.07,595.41,2310.48
CLM31081788,2025-02-05 14:31:59.074233,OPEN,1110.51,690.87,1229.61,1920.47,Medical Malpractice,HIGH,2568.9700000000003,2405.94,1825.02,4230.95
CLM31081788,2025-03-21 14:31:59.074233,OPEN,534.86,997.21,1213.24,2210.45,Medical Malpractice,HIGH,3103.83,3403.15,3038.2599999999998,6441.4
