note,clmNum,whenadded
Follow-up investigation required for CLM10285711,CLM10285711,2022-02-14
Payment processed for CLM10285711 - Priority: High,CLM10285711,2022-03-23
"Payment processed for CLM10285711 - Amount: $45,096",CLM10285711,2022-06-20
Review completed for CLM13100581 - Priority: Medium,CLM13100581,2022-10-15
Initial review completed for claim CLM13100581,CLM13100581,2022-12-20
Payment processed for CLM13100581 - Priority: High,CLM13100581,2023-03-13
"Review completed for CLM13388445 - Amount: $16,275",CLM13388445,2023-03-16
Payment authorization for CLM13388445,CLM13388445,2023-03-22
Claim CLM13388445 documentation verified,CLM13388445,2023-04-19
Claim CLM13388445 documentation verified,CLM13388445,2023-04-25
Documentation received for claim CLM13388445,CLM13388445,2023-05-11
Follow-up investigation required for CLM13388445,CLM13388445,2023-05-23
Claim CLM13815144 assigned to adjuster,CLM13815144,2022-05-27
"Initial review completed for claim CLM13815144 - Amount: $26,364",CLM13815144,2022-05-28
"Initial review completed for claim CLM13815144 - Priority: Low - Amount: $19,052",CLM13815144,2022-06-11
Claim CLM13815144 documentation verified,CLM13815144,2022-09-13
"Initial review completed for claim CLM13815144 - Amount: $29,758",CLM13815144,2022-10-18
"Initial review completed for claim CLM13815144 - Priority: High - Amount: $31,111",CLM13815144,2022-10-23
Initial review completed for claim CLM14345760,CLM14345760,2023-06-05
Claim CLM14345760 status updated,CLM14345760,2023-07-24
Claim CLM14345760 documentation verified - Priority: Low,CLM14345760,2023-08-25
Claim CLM14345760 status updated,CLM14345760,2023-09-04
Claim CLM14409352 assigned to adjuster,CLM14409352,2022-09-19
Additional information requested for CLM14409352,CLM14409352,2022-11-28
Review completed for CLM14409352,CLM14409352,2022-12-12
Documentation received for claim CLM14409352,CLM14409352,2023-01-07
Claim CLM14409352 assigned to adjuster,CLM14409352,2023-01-12
"Claim CLM14409352 documentation verified - Priority: Medium - Amount: $16,349",CLM14409352,2023-01-12
Payment authorization for CLM14409352,CLM14409352,2023-01-19
"Claim CLM14409352 assigned to adjuster - Amount: $25,363",CLM14409352,2023-01-21
Payment authorization for CLM15345854,CLM15345854,2023-10-12
Initial review completed for claim CLM15345854,CLM15345854,2023-10-22
Review completed for CLM15345854 - Priority: Low,CLM15345854,2023-10-22
Claim CLM15345854 assigned to adjuster,CLM15345854,2023-12-13
Claim CLM15345854 assigned to adjuster - Priority: Medium,CLM15345854,2024-03-10
Payment processed for CLM15345854,CLM15345854,2024-03-14
Additional information requested for CLM15345854,CLM15345854,2024-03-19
Follow-up investigation required for CLM15345854 - Priority: Low,CLM15345854,2024-03-28
Claim CLM16733215 status updated,CLM16733215,2022-03-31
Payment authorization for CLM16733215 - Priority: Low,CLM16733215,2022-05-29
Initial review completed for claim CLM16733215 - Priority: Low,CLM16733215,2022-06-10
"Payment authorization for CLM17102173 - Amount: $27,329",CLM17102173,2023-03-22
Payment processed for CLM17102173,CLM17102173,2023-03-27
Claim CLM17102173 status updated,CLM17102173,2023-03-31
Claim CLM17102173 status updated,CLM17102173,2023-04-01
Payment processed for CLM17102173,CLM17102173,2023-04-08
Claim CLM17102173 assigned to adjuster,CLM17102173,2023-04-09
Claim CLM17102173 documentation verified - Priority: Low,CLM17102173,2023-04-24
Claim CLM17102173 documentation verified,CLM17102173,2023-05-01
Follow-up investigation required for CLM17102173,CLM17102173,2023-05-02
"Initial review completed for claim CLM17102173 - Priority: High - Amount: $15,178",CLM17102173,2023-05-05
Claim CLM17102173 documentation verified,CLM17102173,2023-07-03
Review completed for CLM17102173 - Priority: High,CLM17102173,2023-07-06
Follow-up investigation required for CLM17102173,CLM17102173,2023-08-12
Claim CLM18336900 assigned to adjuster - Priority: High,CLM18336900,2022-02-28
Payment processed for CLM18336900,CLM18336900,2022-04-17
Claim CLM18336900 documentation verified - Priority: High,CLM18336900,2022-05-18
"Claim CLM18336900 assigned to adjuster - Amount: $33,003",CLM18336900,2022-06-19
Claim CLM18336900 status updated,CLM18336900,2022-08-21
Follow-up investigation required for CLM18411883,CLM18411883,2022-11-16
Review completed for CLM18411883,CLM18411883,2022-12-11
"Review completed for CLM18411883 - Amount: $25,818",CLM18411883,2023-02-12
Additional information requested for CLM18411883,CLM18411883,2023-02-27
Claim CLM18411883 status updated - Priority: Low,CLM18411883,2023-04-09
Documentation received for claim CLM19742257 - Priority: High,CLM19742257,2022-11-05
Claim CLM19742257 documentation verified,CLM19742257,2022-12-03
"Additional information requested for CLM19742257 - Priority: High - Amount: $42,832",CLM19742257,2022-12-25
Payment authorization for CLM19742257,CLM19742257,2023-01-08
Documentation received for claim CLM19742257,CLM19742257,2023-02-03
Claim CLM19955951 status updated,CLM19955951,2024-01-11
Payment processed for CLM19955951,CLM19955951,2024-01-15
Payment processed for CLM19955951,CLM19955951,2024-01-19
Claim CLM19955951 assigned to adjuster - Priority: Low,CLM19955951,2024-04-27
Payment authorization for CLM20421958,CLM20421958,2023-04-24
Claim CLM20421958 assigned to adjuster,CLM20421958,2023-05-24
Documentation received for claim CLM20421958,CLM20421958,2023-06-04
Follow-up investigation required for CLM20421958,CLM20421958,2023-08-08
Claim CLM20421958 assigned to adjuster,CLM20421958,2023-10-12
Review completed for CLM22834263 - Priority: Medium,CLM22834263,2023-01-28
"Claim CLM22834263 documentation verified - Priority: High - Amount: $25,259",CLM22834263,2023-02-01
Payment authorization for CLM22834263 - Priority: Medium,CLM22834263,2023-03-15
"Payment authorization for CLM22834263 - Amount: $35,521",CLM22834263,2023-04-22
Review completed for CLM22834263,CLM22834263,2023-04-22
Payment authorization for CLM23952821 - Priority: High,CLM23952821,2022-02-03
Payment processed for CLM23952821 - Priority: Low,CLM23952821,2022-03-03
Initial review completed for claim CLM23952821,CLM23952821,2022-04-04
Review completed for CLM23952821,CLM23952821,2022-04-07
Claim CLM23952821 status updated - Priority: High,CLM23952821,2022-05-24
Payment authorization for CLM23952821 - Priority: High,CLM23952821,2022-07-04
Payment authorization for CLM23952821,CLM23952821,2022-07-11
Claim CLM25099203 assigned to adjuster,CLM25099203,2023-04-20
Payment processed for CLM25099203,CLM25099203,2023-05-13
"Follow-up investigation required for CLM25099203 - Amount: $2,177",CLM25099203,2023-05-17
Follow-up investigation required for CLM25099203,CLM25099203,2023-06-08
Claim CLM25099203 status updated,CLM25099203,2023-06-27
"Payment authorization for CLM25099203 - Amount: $26,537",CLM25099203,2023-07-10
Claim CLM25099203 status updated,CLM25099203,2023-08-20
Claim CLM25099203 status updated,CLM25099203,2023-08-30
Initial review completed for claim CLM25099203,CLM25099203,2023-09-07
Claim CLM25099203 documentation verified,CLM25099203,2023-09-20
Claim CLM25590661 assigned to adjuster - Priority: High,CLM25590661,2023-01-09
Claim CLM25590661 assigned to adjuster - Priority: Low,CLM25590661,2023-01-28
Follow-up investigation required for CLM25590661,CLM25590661,2023-02-05
"Claim CLM25590661 documentation verified - Amount: $4,738",CLM25590661,2023-02-11
Claim CLM25590661 assigned to adjuster,CLM25590661,2023-06-12
"Initial review completed for claim CLM26411413 - Amount: $43,589",CLM26411413,2023-12-24
"Follow-up investigation required for CLM26411413 - Amount: $28,228",CLM26411413,2024-03-17
"Payment authorization for CLM26411413 - Amount: $20,702",CLM26411413,2024-04-04
Initial review completed for claim CLM26770274,CLM26770274,2022-07-15
Review completed for CLM26770274,CLM26770274,2022-07-27
Claim CLM26770274 documentation verified,CLM26770274,2022-08-08
Follow-up investigation required for CLM26770274,CLM26770274,2022-08-16
"Follow-up investigation required for CLM26770274 - Priority: High - Amount: $5,090",CLM26770274,2022-09-06
Follow-up investigation required for CLM26770274,CLM26770274,2022-10-05
Documentation received for claim CLM27962327,CLM27962327,2023-08-04
Initial review completed for claim CLM27962327,CLM27962327,2023-09-07
Claim CLM27962327 assigned to adjuster,CLM27962327,2024-01-07
Initial review completed for claim CLM29655820,CLM29655820,2022-05-31
Payment authorization for CLM29655820 - Priority: Medium,CLM29655820,2022-06-24
Additional information requested for CLM29655820,CLM29655820,2022-08-03
Claim CLM29655820 assigned to adjuster - Priority: Medium,CLM29655820,2022-08-18
Follow-up investigation required for CLM29655820,CLM29655820,2022-09-13
"Initial review completed for claim CLM29655820 - Amount: $49,770",CLM29655820,2022-10-02
Documentation received for claim CLM29655820 - Priority: Medium,CLM29655820,2022-11-07
Payment processed for CLM30353727,CLM30353727,2022-04-17
Additional information requested for CLM30353727 - Priority: Low,CLM30353727,2022-04-26
Claim CLM30353727 status updated,CLM30353727,2022-05-04
Documentation received for claim CLM30353727 - Priority: Low,CLM30353727,2022-06-15
Claim CLM30353727 documentation verified - Priority: Low,CLM30353727,2022-06-22
Follow-up investigation required for CLM30353727,CLM30353727,2022-07-25
Payment authorization for CLM30978981,CLM30978981,2023-04-14
Payment processed for CLM30978981 - Priority: Medium,CLM30978981,2023-04-26
"Payment authorization for CLM30978981 - Amount: $21,384",CLM30978981,2023-05-13
"Claim CLM30978981 assigned to adjuster - Amount: $17,390",CLM30978981,2023-08-25
Claim CLM30978981 documentation verified,CLM30978981,2023-08-29
Review completed for CLM30978981,CLM30978981,2023-09-07
Initial review completed for claim CLM30978981 - Priority: High,CLM30978981,2023-09-13
Payment processed for CLM30978981,CLM30978981,2023-09-18
Review completed for CLM31765239,CLM31765239,2023-10-05
Claim CLM31765239 documentation verified - Priority: Medium,CLM31765239,2023-10-25
"Claim CLM31765239 status updated - Amount: $10,516",CLM31765239,2023-11-02
Documentation received for claim CLM31765239,CLM31765239,2023-11-27
Review completed for CLM31765239,CLM31765239,2024-01-02
